"college","dataSource","draftClass","image","name","nationality","ovr","position","realLifeRosterStatus","team","url"
"","placeholder — no rating source found","","","Malik Turner","","","","free_agent","Free Agent","https://www.maddenratings.com/malik-turner"
"","placeholder — no rating source found","","","Josh Tupou","","","","free_agent","Free Agent","https://www.maddenratings.com/josh-tupou"
"","Madden NFL 26 (backfilled)","","","Albert Okwuegbunam","","69","TE","free_agent","Free Agent","https://www.maddenratings.com/albert-okwuegbunam"
"","placeholder — no rating source found","","","Hakeem Butler","","","","free_agent","Free Agent","https://www.maddenratings.com/hakeem-butler"
"","Madden NFL 26 (backfilled)","","","Ross Blacklock","","72","DL","free_agent","Free Agent","https://www.maddenratings.com/ross-blacklock"
"","placeholder — no rating source found","","","Malaesala Aumavae Laulu","","","","free_agent","Free Agent","https://www.maddenratings.com/malaesala-aumavae-laulu"
"","placeholder — no rating source found","","","Gervarrius Owens","","","","free_agent","Free Agent","https://www.maddenratings.com/gervarrius-owens"
"","placeholder — no rating source found","","","Qwuantrezz Knight","","","","free_agent","Free Agent","https://www.maddenratings.com/qwuantrezz-knight"
"","placeholder — no rating source found","","","William Bradley King","","","","free_agent","Free Agent","https://www.maddenratings.com/william-bradley-king"
"","Madden NFL 26 (backfilled)","","","Sebastian Gutierrez","","60","OL","free_agent","Free Agent","https://www.maddenratings.com/sebastian-gutierrez"
"","placeholder — no rating source found","","","Julian Good Jones","","","","free_agent","Free Agent","https://www.maddenratings.com/julian-good-jones"
"","Madden NFL 26 (backfilled)","","","Jalen Virgil","","65","WR","free_agent","Free Agent","https://www.maddenratings.com/jalen-virgil"
"","Madden NFL 26 (backfilled)","","","Ricky Lee","","63","OL","free_agent","Free Agent","https://www.maddenratings.com/ricky-lee"
"","placeholder — no rating source found","","","Trevor Siemian","","","","free_agent","Free Agent","https://www.maddenratings.com/trevor-siemian"
"","Madden NFL 26 (backfilled)","","","Tucker Addington","","67","LS","free_agent","Free Agent","https://www.maddenratings.com/tucker-addington"
